country,co2,consumption_co2,co2_growth_prct,co2_growth_abs,trade_co2,co2_per_capita,consumption_co2_per_capita,share_global_co2,cumulative_co2,share_global_cumulative_co2,co2_per_gdp,consumption_co2_per_gdp,co2_per_unit_energy,coal_co2,cement_co2,flaring_co2,gas_co2,oil_co2,other_industry_co2,cement_co2_per_capita,coal_co2_per_capita,flaring_co2_per_capita,gas_co2_per_capita,oil_co2_per_capita,other_co2_per_capita,trade_co2_share,share_global_cement_co2,share_global_coal_co2,share_global_flaring_co2,share_global_gas_co2,share_global_oil_co2,share_global_other_co2,cumulative_cement_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2,share_global_cumulative_cement_co2,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,total_ghg,ghg_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,population,gdp,primary_energy_consumption,energy_per_capita,energy_per_gdp
India,54416.494,38611.386,1009.43,2440.27,-2924.989,56.231,32.767,257.21,1089895.302,142.68,25.007,9,14.145,35250.943,2475.324,166.232,2348.804,14175.18,,2.303,37.961,0.194,2.007,13.769,,-189.43,338.96,382.29,69.7,41.74,221.11,,38396.643,761981.083,4810.298,29724.098,254972.029,,230.82,175.64,45,17.84,157.7,,53209.94,46.947,16380.03,14.884,5365.61,4.815,86423610381,1.75E+14,182071.683,172398.248,80.844
Indonesia,14399.956,10723.201,2531.2,589.498,-338.328,76.688,45.8,66.99,293619.355,36.2,18.976,6.129,15.761,3737.105,672.876,493.652,2440.016,7056.314,,3.029,17.387,2.651,12.082,41.531,,-158.86,78.89,32.39,168.67,78.85,179.97,,10311.736,47613.871,12437.652,47173.579,175612.567,,44.69,9.79,114.02,54.86,158.21,,53385.09,240.084,9858.37,45.441,2230.6,10.101,14683805151,6.26919E+13,49453.769,227851.008,51.772
International transport,42242.539,,224.42,875.838,,,,196.33,1063272.33,111.75,,,,,,,,42242.539,,,,,,,,,,,,,521.83,,,,,,1063272.33,,,,,,372.12,,,,,,,,,,,,
Iran,18914.444,12775.327,6084.31,744.896,-895.668,367.434,178.97,90.5,417375.64,48.57,34.54,14.408,17.263,213.621,516.431,1929.561,7019.11,9235.713,,8.131,4.217,44.558,101.46,209.076,,-194.16,64.59,2.38,743.66,129.62,204.65,,8664.044,5420.611,57606.11,90825.944,254858.93,,41.2,1.02,719.82,60.61,172.74,,15349.74,219.995,2923.52,42.185,846.06,12.285,3955762565,3.28292E+13,68665.291,1063768.083,104.55
Iraq,4656.529,,1711.86,223.992,,235.623,,20.43,97035.593,10.21,38.176,,23.106,0.201,124.422,706.011,421.673,3404.234,,6.728,0.013,38.085,16.929,173.859,,,22.81,0,228.91,9.09,47.87,,3151.569,4.315,16954.609,6183.163,70736.414,,19.07,0,177.9,5.45,29.85,,3156.4,121.702,325.33,12.692,117.41,4.687,1368008609,8.68826E+12,13379.293,571367.884,101.435
Ireland,2224.064,1513.283,2899.31,26.676,298.807,617.946,370.614,15.38,74334.077,10.41,47.742,10.023,13.743,877.415,71.839,0.1,294.153,963.354,17.197,19.22,263.164,0.026,71.606,259.738,4.199,713.29,18.42,15.97,0.04,5.85,11.2,7,1908.682,41545.047,2.007,4919.551,25682.569,276.215,16.52,10.94,0,3.2,8.21,4.71,1702.03,423.401,429.66,107.382,267.24,66.993,701201260,6.82287E+12,7248.023,1914744.113,98.485
Israel,2379.696,2161.423,1914.26,56.312,430.816,465.741,334.61,9.96,53551.838,5.11,25.521,12.394,13.778,785.729,84.691,,183.822,1325.453,,19.222,125.94,,24.137,296.438,,768.27,20.5,7.15,,2.81,16.07,,2161.47,13133.822,,1359.211,36897.34,,19,2.08,,0.8,12.12,,1983.4,311.591,246.14,39.971,53.46,8.574,334859143,6.77017E+12,9193.547,1670799.954,72.679
Italy,24739.054,16469.684,3304.94,303.788,3468.04,451.08,282.527,174.2,834223.438,136.44,29.094,8.65,12.092,4710.805,942.906,94.449,5355.673,13495.14,140.082,17.08,97.212,1.624,92.722,240.016,2.403,810.36,340.42,106.37,32.37,138.77,238.24,58.43,33570.838,252718.595,1671.576,114315.105,429524.051,2423.279,387.64,96.82,12.61,103.53,224.26,41.75,12031.34,207.171,1366.74,23.536,664.93,11.478,7073088279,9.85253E+13,96912.559,1695794.087,72.092
Jamaica,452.853,289.37,448.53,7.156,17.744,189.427,106.476,2.07,12488.066,1.27,31.357,15.566,8.607,6.413,14.474,,0.845,431.126,,6.068,2.433,,0.288,180.646,,204.77,3.02,0,,0,5.06,,382.751,102.41,,2.122,11996.963,,2.69,0,,0,3.85,,297.77,111.19,27.44,10.308,13.09,4.901,160027838,8.92453E+11,1327.913,510891.264,95.135
Japan,65625.165,43373.052,2408.15,1030.759,6434.436,576.76,340.41,399.67,2051064.33,284.52,44.387,9.791,11.941,23755.653,1982.514,15.262,6834.273,32745.068,292.395,16.966,230.774,0.124,54.139,272.464,2.298,521.72,569.46,366.6,4.99,143.9,421.75,120.37,63908.054,908230.496,264.811,118800.193,954975.865,4879.573,604.6,250.69,2.08,85.07,347.31,84.69,31811.53,249.636,783.14,6.157,639.36,5.024,12366610865,1.99423E+14,266010.147,2172190.76,89.221
