country,co2,consumption_co2,co2_growth_prct,co2_growth_abs,trade_co2,co2_per_capita,consumption_co2_per_capita,share_global_co2,cumulative_co2,share_global_cumulative_co2,co2_per_gdp,consumption_co2_per_gdp,co2_per_unit_energy,coal_co2,cement_co2,flaring_co2,gas_co2,oil_co2,other_industry_co2,cement_co2_per_capita,coal_co2_per_capita,flaring_co2_per_capita,gas_co2_per_capita,oil_co2_per_capita,other_co2_per_capita,trade_co2_share,share_global_cement_co2,share_global_coal_co2,share_global_flaring_co2,share_global_gas_co2,share_global_oil_co2,share_global_other_co2,cumulative_cement_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2,share_global_cumulative_cement_co2,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,total_ghg,ghg_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,population,gdp,primary_energy_consumption,energy_per_capita,energy_per_gdp
Mexico,20075.006,13446.166,814,356.449,736.215,292.843,126.871,114.27,563554.404,76.41,51.533,9.638,14.127,1496.72,672.51,503.559,4171.958,13230.261,,7.707,21.105,7.725,45.85,210.441,,165.43,122.04,17.38,242.12,120.07,384.3,,15050.893,37618.879,16030.914,84175.21,409165.906,,98.09,9.07,269.86,89.63,385.3,,15538.02,149.479,3096.15,29.85,1029.51,10.04,6369776321,5.85895E+13,71764.386,778676.292,70.23
Micronesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.79,,1.12,,0.54,,,,,,
Micronesia (country),3.719,,53.16,0.045,,,,0,53.38,0,,,,,,,,3.719,,,,,,,,,,,,,0,,,,,,53.38,,,,,,0,,,,,,,,3105480,,,,
Moldova,1379.225,,1746.71,5.136,,394.313,,11.14,62408.519,9.18,22.539,,4.033,403.45,35.549,3.591,197.265,739.35,,9.152,126.973,0.889,48.599,208.7,,,9.69,7.74,1.42,6.84,36.18,,1214.697,21291.776,39.495,6247.184,33509.697,,9.78,5.51,0.6,6.42,39.87,,397.33,93.861,108.34,25.703,29.76,7.047,437161981,9.88891E+11,998.503,237946.65,87.355
Mongolia,787.438,505.559,711.71,88.157,-41.302,320.61,181.494,2.85,12414.285,1.09,104.356,30.462,10.504,667.325,5.731,,,114.377,,2.457,263.98,,,54.167,,-234.31,0.83,5.93,,,1.28,,110.961,9582.718,,,2720.602,,0.54,1.67,,,0.94,,1462.66,579.354,303.13,119.502,255.52,101.036,134157294,5.54972E+11,1528.259,652861.09,220.898
Montenegro,103.626,,6692.37,2.476,,177.192,,0.63,3025.066,0.38,26.317,,1.813,72.982,,0.034,,30.605,,,126.305,0.057,,50.827,,,,0.85,0,,0.4,,,2296.877,0.218,,721.425,,,0.48,0,,0.03,,-19.49,-31.381,21.79,35.169,4.46,7.196,68715306,2.79023E+11,146.259,234400.537,14.45
Montserrat,1.619,,460.85,0.022,,250.757,,0,36.862,0,,,9.427,,,,,1.619,,,,,,250.757,,,,,,,0,,,,,,36.862,,,,,,0,,,,,,,,513139,,5.57,908367.154,
Morocco,1737.601,1475.081,962.44,64.51,181.064,65.056,47.679,7.06,34948.91,3.31,13.913,7.99,14.678,447.407,168.211,,32.37,1089.605,,6.313,16.521,,1.036,41.184,,501.14,29.14,4.41,,0.59,11.76,,3405.374,8217.102,,370.633,22952.59,,23.29,1.5,,0.13,6.86,,1534.45,50.13,353.56,11.778,201.93,6.738,1759274861,7.18377E+12,5925.781,212731.488,40.324
Mozambique,177.094,236.238,2201.48,6.527,149.558,13.393,10.312,0.93,5181.101,0.61,7.56,9.6,4.176,44.236,14.968,,12.876,105.007,,0.958,5.192,,0.46,6.784,,5681.83,3.52,0.78,,0.16,1.19,,331.94,1914.513,,60.72,2493.799,,3.44,0.52,,0.01,0.75,,1737.41,91.252,425.87,22.138,298.54,15.606,1135849654,1.41897E+12,1207.653,59730.327,83.518
Myanmar,611.492,,1600.66,33.165,,16.612,,3.47,15453.198,2.03,7.844,,,52.99,17.291,5.386,164.536,371.286,,0.383,1.45,0.16,3.43,11.188,,,2.3,0.59,1.65,3.15,10.46,,275.15,1341.856,201.954,2397.067,11215.63,,1.67,0.09,2.26,1.57,9.45,,5068.11,106.526,1799.27,37.569,522.2,10.889,2945386655,5.46609E+12,,,
Namibia,76.038,137.994,159.54,2.823,65.832,37.079,66.166,0.29,935.531,0,4.58,8.102,4.885,3.448,3.161,,,69.433,,1.335,1.753,,,33.99,,2299.65,0.22,0.01,,,0.63,,15.116,49.92,,,869.758,,0.04,0,,,0.18,,538.94,287.58,145.84,77.928,108,57.778,60891724,4.1931E+11,343.175,176055.26,26.509
Nauru,4.867,,105.66,0.028,,560.159,,0,151.064,0,,,7.47,,,,,4.867,,,,,,560.159,,,,,,,0,,,,,,151.064,,,,,,0,,2.24,220.091,0,0,0,0,509393,,16.676,1749678.017,
Nepal,165.881,217.836,807.37,16.934,81.159,6.657,8.308,0.49,1965.988,0.1,3.043,3.628,7.523,45.118,23.628,,,97.139,,0.872,1.787,,,3.992,,1770.74,1.75,0.33,,,0.9,,154.737,499.781,,,1311.468,,0.48,0.02,,,0.26,,1474.04,61.969,654.85,26.726,164.42,6.72,1271966270,1.90445E+12,491.803,20087.539,12.996
Netherlands,11739.968,5441.353,576.67,135.229,335.377,967.305,337.772,153.03,494872.633,138.78,75.897,8.998,9.903,3840.109,56.44,29.15,3876.089,3901.219,36.963,4.362,428.167,1.798,253.321,277.378,2.28,193.55,29.64,136.37,9.34,104.3,119.98,15.03,2600.539,255576.799,456.056,99658.705,135481.787,586.6,34.17,133.82,3.49,86.83,124.06,10.06,5499.81,342.53,641.94,40.21,331.12,20.767,1585062304,3.13155E+13,49581.065,3261856.688,113.878
New Caledonia,157.007,,538.5,8.475,,908.709,,0.76,3816.045,0.5,,,8.517,59.379,1.651,,,95.973,,8.271,367.083,,,533.36,,,0.26,0.67,,,1.04,,34.494,1414.624,,,2365.468,,0,0.11,,,0.6,,,,,,,,11621903,,380.037,1786693.873,
New Zealand,1886.566,1070.983,506.65,33.121,70.404,677.397,260.734,16.51,69184.578,13.81,47.576,9.102,8.11,626.897,33.491,29.65,326.037,846.968,23.529,10.609,331.084,7.155,84.268,238.553,5.718,206.85,14.09,14.88,9.13,7.23,10.6,9.56,1157.461,37771.999,433.129,6673.116,22777.933,362.442,15.78,14.09,3.25,4.74,7.89,5.99,1584.74,392.403,893.99,223.458,401.14,100.352,318454351,6.10234E+12,9833.921,2654214.482,117.785
Nicaragua,177.396,150.037,3018.78,5.063,30.272,41.815,27.329,0.74,4095.117,0.44,12.817,8.512,7.76,,8.773,,,168.623,,1.976,,,,39.838,,762.06,1.42,,,,1.87,,180.927,,,,3914.191,,1.2,,,,1.23,,986.76,192.798,202.28,38.06,70,13.172,276496314,8.51867E+11,593.156,118734.752,42.778
Niger,46.523,,514.64,1.662,,4.387,,0.1,925.123,0,4.615,,8.395,11.967,0.891,,,33.657,,0.103,1.08,,,3.2,,,0.05,0.03,,,0.22,,23.488,235.761,,,665.879,,0,0,,,0.05,,758.72,58.649,440.5,32.817,185.17,13.797,614925268,5.15942E+11,161.428,13934.795,17.231
Nigeria,3914.993,2307.891,1419.75,125.445,-222.989,36.477,15.654,16.4,87990.221,8.61,15.215,4.737,11.443,70.407,130.414,1258.533,712.877,1742.757,,0.988,1.813,13.473,5.233,14.969,,-220.95,15.62,1.62,422.34,13.83,17.81,,1964.968,4770.366,28470.322,10702.722,35053.855,,9.92,1.37,271.8,7.22,9.51,,10929.56,83.544,2959.27,22.748,772.39,5.773,7803174701,1.93079E+13,9326.118,76745.072,19.525
Niue,0.292,,269.88,0.008,,142.739,,0,6.349,0,,,12.098,,,,,0.292,,,,,,142.739,,,,,,,0,,,,,,6.349,,,,,,0,,0.85,425,0,0,0,0,126901,,0.736,349345.462,
North America,477801.969,208155.404,7991.95,5775.159,6778.499,1688.956,413.363,5612.14,21096571.71,5057.03,137.18,12.401,12.128,186969.062,4060.241,3467.715,89871.056,191967.146,1466.754,11.101,882.896,8.7,233.274,549.018,3.946,97.42,4925.23,4774.82,1705.85,10000.8,8305.93,6757.9,139869.895,10916660.46,104241.468,2830492.867,7058660.692,46646.333,5667.18,4535.72,2035.89,11106.74,9003.41,7782.78,,,,,,,41407205781,,1484132.852,5111658.092,
North America (excl. USA),61078.901,33258.137,1862.43,1062.387,-191.406,561.071,155.878,433.25,2025434.08,327.73,92.357,10.802,10.88,11318.893,1315.057,1213.907,13316.227,33828.946,85.871,7.942,211.224,7.679,74.495,259.323,0.411,-18.51,296.85,234.21,526.15,443.49,818.68,35.67,33024.692,593262.549,35443.547,297186.865,1065036.323,1480.112,277.88,203.75,477.13,361.54,789.27,25.69,,,,,,,,,,,
North Korea,5049.469,,3810.1,29.168,,283.292,,28.35,178791.339,20.05,43.714,,13.183,4593.312,193.724,,,262.428,,10.288,259.304,,,13.708,,,51.97,62.24,,,3.1,,6034.871,164052.929,,,8240.065,,46.75,33.34,,,2.55,,2847.01,124.874,526.68,22.986,109.68,4.898,1641499174,1.2214E+12,8843.317,414127.209,207.34
North Macedonia,636.096,,6577.68,8.358,,345.146,,3.75,21400.437,2.53,43.517,,9.707,416.339,18.118,0.211,5.572,195.847,,9.625,231.094,0.106,2.689,101.631,,,5.38,5.81,0.11,0.05,2.42,,561.413,14690.667,1.322,48.146,6052.139,,5.35,3.21,0,0,1.99,,326.64,160.29,64.43,31.619,18.29,9.006,192398378,9.80254E+11,920.704,450729.443,47.822
Norway,2632.393,828.609,1282.78,41.264,72.372,669.562,167.403,28.26,104022.843,25.04,56.637,2.083,4.74,633.317,61.903,108.644,412.917,1405.11,10.504,15.152,208.376,23.921,88.493,331.411,2.21,162.44,27.73,21.5,39.16,8.57,31.95,4.23,2354.648,46455.217,2340.871,7377.094,45338.974,156.032,32.57,22.31,19.55,5.06,30.73,2.63,756.14,164.358,152.13,33.001,112.31,24.479,550435282,1.22703E+13,23449.521,5283391.454,159.285
Oceania,20977.072,11067.735,881.27,444.116,-1217.165,939.702,327.38,139.58,648671.795,103.33,64.998,11.858,13.584,10919.58,229.928,316.955,2420.702,6955.907,134.012,9.561,587.631,9.186,75.419,253.945,3.955,-306.66,77.38,168.28,99.06,50.82,85.48,54.17,7287.62,408153.718,4342.33,43553.028,183268.475,2007.159,84.16,115.38,31.97,30.57,62.11,33.16,,,,,,,2447849554,,,,
Oman,1251.112,1040.258,1836.06,62.153,-17.943,462.518,335.654,4.24,17815.816,1.4,26.179,12.328,12.278,,37.632,130.563,797.99,284.923,,12.336,,80.873,251.644,117.666,,11.44,3.63,,42.1,13.58,2.69,,457.828,,3446.112,8821.968,5089.906,,1.64,,32.53,5.08,1.18,,1028.15,360.898,104.6,39.617,12.57,4.649,119401502,2.73492E+12,5982.066,2140465.585,108.986
Pakistan,5162.293,4220.893,878.09,234.122,215.285,38.953,25.685,20.11,95513.401,8.8,14.166,6.4,11.683,736.974,302.267,24.761,1855.214,2243.079,,2.181,6.329,0.294,12.915,17.228,,166.69,40.8,7.65,10.31,38.79,23.56,,5055.848,15077.964,224.127,31223.825,43224.134,,28.49,2.95,3.27,23.04,12.43,,7618.93,49.05,2739.57,17.708,1146.34,7.405,7633107336,2.32301E+13,22064.271,160539.967,54.281
Palau,10.567,,499.75,0.209,,685.616,,0,278.849,0,,,,,,,,10.567,,,,,,685.616,,,,,,,0,,,,,,278.849,,,,,,0,,4.08,220.212,0.45,24.469,0,0,969223,,,,
Palestine,59.438,,172.16,2.041,,15.865,,0.21,742.082,0,3.125,,5.714,,,,,59.438,,,,,,15.865,,,,,,,0.53,,,,,,742.082,,,,,,0.15,,,,,,,,111566540,4.82695E+11,165.05,42285.117,10.145
Panama,309.25,317.663,2329.52,10.763,116.318,115.328,86.973,1.26,6685.615,0.64,15.468,5.908,3.002,9.733,19.931,,2.291,277.296,,7.075,2.731,,0.617,104.908,,976.21,3.11,0.06,,0.02,3.09,,385.881,84.874,,5.676,6179.11,,2.52,0,,0,1.98,,579.17,179.705,123.66,38.851,34,10.685,167452707,1.56827E+12,2506.314,843690.285,99.181
Panama Canal Zone,14.762,,300.36,0.834,,,,0.08,150.564,0,,,,,,,0.052,14.712,,,,,,,,,,,,0,0.27,,,,,0.325,149.216,,,,,0,0.16,,,,,,,,,,,,
Papua New Guinea,169.498,,543.2,6.594,,30.332,,0.62,3285.265,0.31,,,7.485,0.056,,,11.971,157.476,,,0.014,,1.679,28.64,,,,0,,0.18,1.61,,,0.385,,129.836,3153.916,,,0,,0,0.86,,1924.86,313.075,367.61,59.412,126.38,20.65,322351467,,614.554,104068.278,
Paraguay,177.912,210.924,581.31,7.505,73.087,35.719,36.042,0.61,3313.264,0.27,6.548,5.277,1.843,0.052,9.67,,,168.194,,1.905,0.008,,,33.808,,1629.51,1.32,0,,,1.73,,179.882,0.209,,,3133.155,,0.78,0,,,0.87,,3702.04,655.631,700.57,125.611,248.55,45.316,280509349,1.48395E+12,4486.951,822499.098,164.755
Peru,1941.857,1251.437,1457.06,44.711,155.739,115.241,44.607,12.73,60169.854,8.77,25.763,5.688,11.404,115.686,111.785,87.683,236.297,1390.401,,4.937,8.943,3.575,9.516,88.256,,421.64,21.84,1.8,26.2,9.98,43.98,,2352.735,4343.5,1543.641,3314.472,48383.311,,18.26,1.12,13.16,4.87,42.79,,3307.54,121.432,690.94,25.437,221,8.165,1726579754,1.00783E+13,7934.38,340282.453,67.003
Philippines,3390.274,3007.465,3160.86,136.088,614.825,50.22,34.792,13.94,72244.274,6.98,11.989,6.744,13.535,816.349,236.059,,129.539,2208.331,,3.339,9.075,,1.343,36.461,,847.13,36.83,6.41,,2.06,25.7,,4619.293,8651.484,,1187.264,57781.729,,28.56,1.29,,0.58,18.38,,3742.36,45.431,1559.56,18.943,306.09,3.717,4635882850,1.89993E+13,12892.834,180959.09,43.71
Poland,27863.879,9230.14,3563.45,299.184,-875.552,858.321,241.072,463.83,1311553.742,441.89,85.475,17.215,16.723,23016.542,415.752,110.671,1185.019,2992.728,143.16,11.758,725.389,2.895,32.081,82.463,3.737,-257.37,123.3,599.52,35.09,48.49,107.88,58.55,13681.383,1184121.24,1599.155,28218.316,81531.26,2309.474,127.81,528.8,11.67,39.24,107.22,39.78,9652.69,251.847,1427.63,37.245,627.48,16.37,5238242922,2.86074E+13,64246.007,1754664.609,190.708
Portugal,2614.597,1966.241,2002.24,40.37,280.388,273.038,190.409,18.65,79551.63,14.38,30.24,8.212,11.367,650.351,159.363,18.226,212.26,1548.989,25.408,16.064,76.401,1.76,20.404,155.956,2.461,491.63,38.34,13.52,5.39,3.52,22.67,10.28,4380.005,30473.158,204.404,2370.917,41740.591,382.566,35.25,12,1.42,1.25,17.98,6.34,1954.41,189.17,326.04,31.592,102.16,9.911,1158903451,1.11698E+13,10981.508,1087192.186,65.215
Puerto Rico,0.209,,0,,,0.145,,0.01,0.209,0,,,,,,,,0.209,,,,,,0.145,,,,,,,0.06,,,,,,0.209,,,,,,0.01,,,,,,,,220585745,4.14136E+12,3341.441,954287.204,32.779
Qatar,2094.573,1070.362,3529.83,106.395,-635.763,3288.008,983.634,7.46,33346.6,2.87,85.796,30.606,28.238,,35.445,168.549,1557.287,333.293,,31.776,,1028.487,1660.414,567.338,,-1003.06,3.32,,65.62,28.82,3.36,,397.04,,4551.308,20922.963,5772.779,,1.54,,58.61,13.7,1.52,,1193.61,1073.556,98.55,91.324,16.32,12.653,48123983,4.18561E+12,9302.255,10480613.86,184.472
Reunion,123.872,,587.91,4.566,,168.588,,0.36,2138.66,0.15,,,10.015,40.531,,,,83.338,,,49.556,,,119.035,,,,0.27,,,0.78,,,450.266,,,1688.394,,,0.01,,,0.38,,,,,,,,41137464,,345.562,476479.964,
Romania,8493.291,2842.038,1385.95,71.477,-155.982,411.882,131.907,60.36,329497.048,46.06,147.355,14.76,13.427,2528.214,261.096,28.78,2872.034,2767.252,35.925,12.266,120.388,1.336,134.799,141.409,1.686,-121.72,75.6,35.54,9.79,173.3,179.25,14.58,8957.16,91627.791,509.114,106247.235,121476.37,569.145,78.47,20.47,3.82,173.24,186.06,9.77,2906.23,129.03,886.36,40.624,284.27,13.034,2550157710,1.01488E+13,28400.284,1300529.383,194.964
Russia,115344.148,39171.849,1884.91,1576.841,-10737.827,861.513,269.054,762.41,4080456.16,563.42,61.402,18.109,8.217,45132.882,1636.982,1161.176,34157.493,32715.047,540.574,11.961,354.568,8.093,239.409,243.78,3.702,-643.5,484.89,745.25,382.88,958.92,1203.21,222.87,56438.172,1955481.02,24017.223,828144.756,1206791.043,9438.953,503.23,492.85,210.17,775.43,1259.64,171.59,69251.04,475.164,21225.52,145.867,1973.32,13.531,17079865795,1.09E+14,359606.131,2490119.507,154.434
Rwanda,28.68,18.925,754.86,1.014,0,3.861,2.107,0,617.439,0,2.777,1.622,7.566,0.03,1.574,0.024,0.27,26.786,,0.164,0.006,0.005,0.024,3.665,,0,0.09,0,0,0,0.21,,17.933,0.101,0.077,1.231,596.376,,0,0,0,0,0,,175.99,24.074,70.82,8.527,35.92,4.143,442035819,5.62429E+11,113.817,14850.767,16.019
Ryukyu Islands,20.892,,1087.38,8.985,,,,0.13,85.67,0,,,,0.062,0.818,,,20.015,,,,,,,,,0.3,0,,,0.35,,3.164,0.33,,,82.026,,0.08,0,,,0.1,,,,,,,,,,,,
Saint Helena,0.38,,194.43,0.003,,64.363,,0,6.863,0,,,14.441,,,,,0.38,,,,,,64.363,,,,,,,0,,,,,,6.863,,,,,,0,,,,,,,,321570,,1.057,184027.407,
Saint Kitts and Nevis,6.341,,160.19,0.157,,135.602,,0,99.726,0,,,9.671,,,,,6.341,,,,,,135.602,,,,,,,0,,,,,,99.726,,,,,,0,,7.6,163.158,2.02,44.239,0.47,10.235,1821523,,21.914,472641.924,
Saint Lucia,14.365,,668.08,0.439,,93.212,,0,270.045,0,16.376,,10.076,,,,,14.365,,,,,,93.212,,,,,,,0,,,,,,270.045,,,,,,0,,21.28,133.743,10.08,65.41,0.99,6.31,9241291,47908377908,42.285,267459.165,40.191
Saint Pierre and Miquelon,3.683,,253.69,0.041,,624.86,,0,115.32,0,,,5.439,0.496,,,,3.186,,,99.75,,,525.108,,,,0,,,0,,,8.532,,,84.983,,,0,,,0,,,,,,,,411953,,18.279,3046323.687,
Saint Vincent and the Grenadines,6.967,,571.47,0.205,,65.507,,0,130.251,0,,,8.448,,,,,6.967,,,,,,65.507,,,,,,,0,,,,,,130.251,,,,,,0,,6.72,61.997,1.89,17.454,0.36,3.331,6940693,,24.652,228356.804,
Samoa,6.787,,526.76,0.243,,39.359,,0,141.233,0,,,6.311,,,,,6.787,,,,,,39.359,,,,,,,0,,,,,,141.233,,,,,,0,,-13.11,-80.41,6.99,39.107,1.29,7.216,10874983,,29.333,166355.715,
Sao Tome and Principe,3.365,,456.56,0.109,,24.448,,0,68.86,0,9.577,,7.734,,,,,3.365,,,,,,24.448,,,,,,,0,,,,,,68.86,,,,,,0,,4.82,29.82,0.84,5.703,0.39,2.442,8151514,19362225114,13.053,87313.983,40.119
Saudi Arabia,15936.374,11839.887,3006.82,630.167,-489.669,849.089,469.215,60.64,293134.033,26.06,35.83,15.499,12.671,,531.616,902.888,4759.168,9742.699,,22.424,,114.451,204.619,507.6,,-175.27,56.25,,294.51,90.38,103.26,,7328.284,,34633.286,70312.185,175432.127,,29.14,,401.68,45.12,49.32,,10283.89,426.851,933.12,40.026,129.85,5.728,1088672218,2.84666E+13,68476.781,3461092.169,136.551
Senegal,243.3,205.004,896.95,10.095,31.065,26.713,17.448,0.94,4788.481,0.42,11.43,7.576,9.179,18.251,37.77,,1.061,186.221,,3.519,1.293,,0.093,21.803,,608.53,4.29,0.13,,0,2.01,,541.479,125.758,,15.331,4096.941,,2.73,0,,0,1.17,,745.73,69.921,251.63,23.698,177.82,16.649,511713482,1.07067E+12,697.35,70401.976,34.839
Serbia,2734.451,,6637.65,47.947,,318.775,,15.65,85743.407,10.48,43.914,,6.104,2051.865,28.921,0.941,193.957,458.779,,3.529,242.772,0.1,21.235,51.137,,,12.71,27.51,0.45,4.94,5.15,,521.427,67955.858,5.997,4539.458,12151.602,,10.09,14.73,0.08,3.78,3.83,,1385.67,147.728,339.82,36.37,123.99,13.333,855996815,3.95434E+12,4798.442,516105.84,66.964
Seychelles,13.377,,644.23,0.486,,159.958,,0,229.511,0,13.083,,3.838,,,,,13.377,,,,,,159.958,,,,,,,0,,,,,,229.511,,,,,,0,,15.94,183.938,2.04,24.038,0.19,2.365,4282037,49929501794,104.64,1252278.688,77.835
Sierra Leone,36.098,,613.98,0.723,,9.236,,0.04,1098.975,0,6.848,,6.013,0.865,,,,35.234,,,0.392,,,8.841,,,,0,,,0.46,,,9.119,,,1042.88,,,0,,,0.52,,311.9,58.248,108.28,19.803,33.14,6.027,291817189,3.52799E+11,125.792,26473.251,21.416
Singapore,2157.027,3244.805,972.42,43.59,1764.458,623.406,743.074,9.01,51063.88,4.78,38.895,17.855,7.82,20.663,,,334.118,1802.251,,,7.137,,67.069,549.2,,3817.06,,0.19,,5.49,19.76,,,388.56,,3354.651,47280.366,,,0,,1.76,13.62,,1406.36,329.471,62.18,13.954,199.67,46.442,219721164,7.10871E+12,21124.365,5116827.363,261.068
Sint Maarten (Dutch part),67.709,,1411.39,0.427,,10510.974,,0.55,3051.151,0.48,,,,,,,,67.709,,,,,,10510.974,,,,,,,2.01,,,,,,3051.151,,,,,,1.92,,,,,,,,1423194,,,,
Slovakia,3869.879,1450.34,825.96,30.668,203.929,898.017,268.929,54.88,194630.06,53.3,19.032,16.578,13.3,2658.739,59.049,0.72,496.812,622.373,32.189,12.184,661.879,0.138,94.624,123.228,5.968,522.59,22.92,67.79,0.28,13.19,7.54,13.23,1466.218,160820.371,12.123,11852.852,19581.82,520.077,19.9,64,0,10.3,6.47,8.83,1058.08,196.474,146.99,27.304,72.08,13.385,609133439,3.07049E+12,10818.475,2093895.634,80.636
Slovenia,851.103,568.463,6600.62,13.933,102.517,453.786,281.302,4.76,25825.663,3.02,24.481,12.277,5.936,368.716,27.773,4.486,67.142,378.491,4.501,14.998,203.406,2.22,33.817,197.117,2.233,666.55,9.59,5.19,1.46,1.58,4.47,1.88,916.278,12926.02,72.342,1414.615,10371.162,80.556,9.92,2.95,0.51,1.12,3.32,1.4,295.26,146.552,64.16,31.894,23.99,11.925,203587631,2.23175E+12,2360.125,1168005.588,48.212
Solomon Islands,10.438,,591.07,0.293,,27.87,,0,212.587,0,,,11.044,,,,,10.438,,,,,,27.87,,,,,,,0,,,,,,212.587,,,,,,0,,61.08,138.695,8.27,18.408,0.66,1.47,21599855,,27.366,70189.184,
Somalia,32.892,,466.06,0.514,,4.703,,0,892.683,0,,,7.113,,0.103,,,32.787,,0.013,,,,4.688,,,0,,,,0.42,,0.545,,,,889.528,,0,,,,0.34,,1115.68,116.597,496.17,51.35,181.02,18.868,495879610,,133.521,16093.24,
South Africa,21164.301,8800.899,1347.87,451.936,-3603.241,706.75,184.193,129.05,634706.66,88.81,76.463,20.77,18.404,18354.029,251.284,,187.579,2371.398,,7.824,627.372,,3.78,67.774,,-868.82,76.41,236.74,,3.3,28.43,,7385.247,560656.916,,2396.281,64267.867,,73.5,130.76,,1.36,21.17,,11130.26,236.909,1159.01,25.206,529.94,11.521,2916106233,1.8574E+13,54407.505,1379860.993,146.047
South America,43288.717,27784.65,15791.11,994.157,337.862,166.525,74.866,228.42,1159179.943,142.2,26.143,6.281,10.45,4764.539,1602.705,2326.199,7844.285,26587.742,163.245,5.519,29.512,10.108,24.339,96.604,0.439,23.42,359.84,70.44,1227.33,235,396.7,65.28,39495.71,170746.028,80343.758,157540.112,708697.81,2356.529,322.5,48.61,1599.05,175.65,305.94,38.99,,,,,,,23231549283,,,,
South Korea,18335.706,16500.095,15540.69,597.596,1631.077,396.197,340.803,68.46,333767.046,28.69,28.621,12.919,13.46,8073.523,935.994,0.117,1955.101,7168.373,202.592,20.367,174.832,0.001,39.58,157.26,4.152,366.55,130.83,75.34,0.06,32.81,71.69,79.08,18772.58,140557.577,0.362,21625.887,150183.796,2615.919,87.61,24.26,0,11.7,38.11,42.2,13062.92,271.425,729.24,15.356,314.83,6.602,3313795256,4.37656E+13,84930.047,1799833.425,99.061
South Sudan,38.352,,409.17,1.133,,5.89,,0.01,788.265,0,,,1.462,0.106,,,,38.244,,,0.04,,,5.85,,,,0,,,0.28,,,1.825,,,781.106,,,0,,,0.1,,,,,,,,392367940,,28.186,2688.432,
Spain,14853.332,9600.33,1745.53,208.906,950.872,393.542,221.525,115.3,476403.125,92.05,38.554,7.961,11.37,4836.666,697.279,80.157,1586.097,7545.429,107.699,17.942,147.515,1.82,35.964,187.811,2.494,324.1,198.42,103.24,25.14,35.98,102.33,44.37,21451.359,227538.476,1097.652,22440.527,201771.942,1750.082,203.32,86.87,8.01,18.18,80.06,29.39,8191.36,189.995,1038.81,24.188,572.36,13.397,4939678530,5.45867E+13,63883.451,1544900.336,80.048
Sri Lanka,500.28,559.217,316.41,19.476,198.038,28.567,28.066,2.11,10289.813,1.04,6.25,3.667,12.719,56.391,24.079,,,419.814,,1.33,3.33,,,23.914,,1672.24,3.55,0.56,,,4.69,,466.465,875.363,,,8926.523,,2.71,0.04,,,2.88,,793.75,41.248,317.01,16.772,70.09,3.636,1099630910,5.36903E+12,2062.14,110889.492,24.812
St. Kitts-Nevis-Anguilla,0.624,,229.29,0.042,,,,0,6.238,0,,,,,,,,0.624,,,,,,,,,,,,,0,,,,,,6.238,,,,,,0,,,,,,,,,,,,
Sudan,446.154,,444.61,18.36,,19.358,,1.79,8726.655,0.76,9.648,,6.898,1.283,19.745,,,425.121,,0.683,0.193,,,18.483,,,2.17,0,,,4.58,,242.769,21.603,,,8399.302,,1.37,0,,,2.63,,3787.17,129.603,1223.68,41.344,654.49,22.362,1411558819,3.04017E+12,1553.163,54506.159,19.981
Suriname,115.205,,293.5,2.01,,272.971,,0.59,3242.841,0.43,,,7.679,1.38,1.281,0.036,0.15,112.359,,2.951,3.876,0.061,0.291,265.788,,,0.16,0,0,0,1.28,,33.532,15.142,0.165,1.561,3142.476,,0,0,0,0,1.11,,192.45,397.17,38.93,79.662,7.39,15.182,28544041,,364.573,801093.115,
Sweden,4987.957,2446.659,1158.01,38.593,871.374,643.352,267.854,61.05,239478.3,56.26,55.802,7.476,5.939,1503.425,110.614,17.104,70.225,3267.416,19.16,13.714,224.99,1.834,7.666,393.064,2.088,1687.93,1676,47.94,5.23,1.36,75.71,7.84,4678.349,107565.598,226.448,1163.903,125539.672,304.33,1670.03,49.03,1.6,0.72,77.38,5.12,1191.93,131.149,185.2,20.536,143.82,15.881,1165378993,1.82497E+13,32671.592,3741307.91,139.059
Switzerland,3022.788,3240.892,850.52,32.152,1953.455,507.257,430.766,32.52,128143.413,29.61,30.267,8.825,7.48,591.651,136.549,1.23,223.856,2062.713,6.79,21.324,145.04,0.166,30.412,309.396,0.914,4609.48,53.04,22.86,0.42,4.7,50.83,2.85,4972.256,52778.606,20.087,4160.758,66078.767,115.4,57.6,25.39,0.17,2.89,49.76,2,1361.31,184.989,148.74,20.283,64.26,8.755,782018199,1.83334E+13,16956.811,2440997.265,68.301
Syria,1867.936,,2417.87,30.532,,137.323,,7.67,42607.097,3.78,18.929,,8.773,0.628,72.465,87.724,293.897,1413.237,,6.07,0.076,6.513,16.901,107.76,,,15.02,0,34.49,5.47,15.09,,1949.147,23.156,2186.363,4479.567,33966.942,,12.95,0,18.47,2.55,9.4,,1997.52,117.567,776.02,46.716,117.37,6.946,859074347,5.44303E+12,6907.354,441750.157,89.336
